title;text;tags;date
От семейных проблем не откупишься;А меня в очередном витке споров о ведении домашнего хозяйства задолбало то, что мужчины, фактически, стремятся отдать ВСЮ свою жизнь, за исключением работы, на аутсорс, откупившись деньгами. А потом очень удивляются, что или не получается, потому что некоторые женщины хотели бы от них участия в семейной жизни, или получается, но тогда внезапно оказывается, что жизни кроме работы у них нет, а женщины — меркантильные. Ручной труд, забота о своём жилье, о своём внешнем виде, приготовление пищи, воспитание детей, забота о пожилых родственниках, создание связей — всё это объявляется женскими и вообще недостойными занятиями. Это у нас нынче «вышивание крестиком», «выбор занавесочек», «ноготочки» и «таскания за шмотками», «работа кухарки», «возня с памперсами», «сидеть со стариками», «пустой треп с подружайками» и всякие прочие нелестные названия для дел, из которых, собственно, и состоит жизнь. Если ничем из этого вообще не заниматься, считая, что вы выше этого, то ничего удивительного, что этого ничего и не будет. Ни ощущения, что дом — ваш, ни чувства хорошо сделанного дела вне работы, ни чувства собственного тела даже, о котором вы не заботитесь, которое за вас одевают, кормят и ублажают другие, ни связи с детьми и родственниками, ни круга приятелей, с которыми связывает что-то кроме алкоголя и работы. Работа важна, это так. И совсем без денег всеми этими важными делами не займешься. Но нет ведь даже попытки создать какой-то баланс! Мужчины в массе своей не научены заботиться ни о себе, ни о других, даже на элементарном уровне. Неудивительно, что они так часто страдают от одиночества, а их попытки объединиться хоть с женщинами хоть с другими мужчинами оборачиваются провалом. И это на самом деле большая трагедия. Связывать свою жизнь с человеком, который считает, что он приносит деньги и на этом его вклад в семью окончен, особенно если такой человек ещё и предъявляет претензии по поводу оказанной помощи, не хочется никому за исключением тех случаев, когда либо деньги эти очень большие, либо без них — совсем уж беспросветная нищета. А ведь самое скверное, что вообще-то мужчины всё отлично могут. Обычно это становится последним аргументом в спорах. Вот, дескать, холостяки все могут сами, зачем тогда нам вы? Ну, если самому участвовать в собственной жизни — это только акт ненависти и сепарации, тогда незачем, конечно. Но ведь обидно же. Мужчины столько всего могут. Могут заниматься резьбой по дереву, искать в лесу травы для чайных сборов и грибы, которые потом сушат на зиму, заниматься кожевенным делом, организовывать прекрасный досуг с детьми, делать ремонт для пожилых родителей, франтовать одеждой, которой довольны, топить вечерами печь или камин, готовить какой-нибудь плов, острющий чили или щи по дедовскому рецепту — в общем, организовывать очень мужской, очень суровый и очень привлекательный быт. Но не хотят этого сделать даже для самих себя, всё чаще предпочитая откупаться деньгами и за ними не видеть ни дома, ни близких.;прекрасный пол, родственники, сильный пол, быт;2021-09-23
За большим погонишься — малое потеряешь;А теперь, дорогой разраб, охладите свой праведный гнев. Игра — это цифровой контент, который со временем не портится. Когда я иду в парикмахерскую или на маникюр, мои волосы или ногти на этот момент имеют непотребный вид. Если бы со временем они не отрастали и не тускнели, то я бы не пошла в парикмахерскую. Давайте тогда другую аналогию. Вот купили вы джинсы и носите в своё удовольствие. И вот через месяц с вас требуют снова заплатить за них. Но зачем? Вы же уже их купили, и они ещё не потеряли товарный вид! Нет уж, извольте раскошелиться — вы знаете, сколько сил и труда уходит на создание одних штанов? Не я писала ту историю, но задолбалась тем же самым. У меня много мобильных приложений и игр, и те, где наглость начинает зашкаливать, я безжалостно удаляю. Вот, например, очень интересная и красивая головоломка. Когда премиум-подписка стоила 350 р. в месяц, это не было проблемой. Но потом стоимость повысили до 450. Я хмыкнула, но больно уж игра нравится. И что теперь? А теперь премиум стоит 700р. Да, я не нищая, но извините, ежемесячно выкладывать такую сумму на времяубивалку для транспорта и очередей я не намерена. Адьос. Приложение для фитнеса и питания. Тоже купила ВИП-пропуск, и что? Рекламу это не убирает, а всего лишь даёт возможность всего за 3000 с лишним рублей купить полный доступ ко всем функциям. А на что я только что потратила 550р? Идите лесом. Так было ещё много раз. Объясните, дорогие разрабы, почему, покупая игру в том же Стиме, у меня не требуют платить за неё каждый месяц? Купила — играю. Никакой рекламы. Если я хочу к этой игре какие-то дополнительные пепяки, то плачу и так же получаю их на вечное пользование. И все честно, все довольны. Я не против платить за то, что мне нравится и приносит удовольствие. Но задолбало, что из меня потом всеми силами пытаются вытащить дополнительное бабло, да ещё и по ходу пользования повышают цену. Кстати, об играх на заказ. Я как-то предлагала знакомому гейм-дизайнеру. Мол, давай, Саня, замути для меня вот такое. Саня меня лесом послал, хотя деньги были. Да, я готова была вложить три ляма в разработку новой игры плюс кикстартер. Продала доставшуюся в наследство квартиру и хотела помочь отечественной игровой индустрии. Но вам же не интересно делать что-то, кроме донатных дрочилен. И не надо строить из себя голодающих бедняжек. Ни одного разработчика приложений, получающего меньше 60−70 т. р., я не видела.;развлечения, интернет-клубы, интернет;2021-09-23
И снова о сверхопеке детей;Прочитал историю об опыте присмотра за ребёнком. Судя по описанию, «няня» неплохо разбирается в детях, и «ребёнок» тоже вполне воспитанный. И странности в поведении подруги тоже не удивительны, нередко встречается. Изумило меня то, что автор удивилась только реакции подруги, а не тому, что её попросили посидеть аж с 13-летним ребёнком. Это-то как раз за гранью понимания — почему 13-летний ребёнок требует присмотра??? Это даже не сверхопека, а клинический диагноз. Я уж молчу, что в «проклятом СССР» в этом возрасте на уроках труда мы были обучены сварить макароны и поджарить яичницу и сами ходили в школу до нескольких километров через весь посёлок, мимо пруда и через парк. Да даже сейчас, через год согласно ПДД этот «ребёнок» получит право ездить на велосипеде по дорогам рядом с машинами! А его нельзя оставить одного дома на день, даже не на сутки? Как такие дети будут жить дальше??? Задолбали заворачивать детей в вату до невозможности! P. S.  Хотя возможно, эта мамаша просто подрабатывает на выходных чем-то, что нельзя видеть 13-летнему ребёнку. В таком случае, к ней явно следует присмотреться ювенальным органам.;дети, быт;2021-09-23
Иногда, называя людей свиньями, мы оскорбляем последних;Привет свиньям, которые считают, что «естественный» запах пота от ног, немытого тела и грязной одежды обладает привлекательностью для противоположного пола. Этот факт, безусловно, оправдывает вас, когда коллеги и знакомые морщатся при вашем появлении и демонстративно начинают обсуждать вопросы гигиены и внешнего вида. Задолбали, свиньи, которым свой пот пахнет нектаром, идите, помойтесь и откройте для себя мир антиперспирантов, с вами невозможно в одном помещении находиться!;коллеги, друзья, быт;2021-09-23
Смычка города и деревни;Наверное, я всё же кину свой тапок. У меня такое ощущение, будто автор попал на Землю из космоса подобно его любимым кварианам. Для начала чуток лингвистики. Для меня как и для большинства понятие «сырня» не существует. Есть сырне, это мясное блюдо, кто хочет нагуглит. Мне лично не нравится. Но что касается крупяно-фруктовых киселей, то пардон. Каши мы едим все и без проблем. Ягоды тоже. Кисель сварить может практически любой горожанин. Да и смеси продаются везде. Не нужно для переваривания никакого специального фермента. Крахмала много в любой муке, хлебе. В картошке его навалом. Короче, самая обычная еда. Собственно, к этому и главная претензия. Люди строят околонаучные концепции и выкладывают. Да, в плане питания у нас самая обычная среда, ничем от сельской не отличается. Если человек, хоть сельский, хоть городской, будет весь день питаться одной брусникой, ему станет плохо. А немного брусники в дополнение к основному блюду из мяса овощей и круп в кайф. И горожанину, и селянину. Масса горожан спокойно жили короткое время по советам выживальщиков. И выжили, как ни странно. Да, профи-выживальщики никогда не посоветуют питаться одной брусникой или клюквой. Ну и наконец, как вы это представляете? В сёлах живут люди, никогда не женившиеся на городских? Да постоянно люди переезжают из города в деревню и обратно. Большинство горожан — потомки переевших в город из села в 20-е годы прошлого века. И гены у нас не исчезают, даже если не нужны. Нет такого механизма. Ну если точнее, то возможно за сотни тысяч лет неиспользования. Но тут реально нужны сотни тысяч лет, а не пара поколений. Короче. Да, мы спокойно можем жить на природе. Просто в городах нам лучше.;еда, быт;2021-09-22
Биология первична, социум вторичен;«Если скатываемся в типичное биологизаторство, то все ваши советы можно выбрасывать на помойку, ибо с точки зрения биологии человеческий самец, который спаривается с большим количеством самок, так-таки эволюционно предпочтительней целомудренного затворника». Я смотрю, в биологии вы не рубите от слова совсем. Начнём с того, что у биологии нет точки зрения на то, какой самец эволюционно предпочтительнее. А у самки есть, потому что именно самка выбирает, что в процитированной истории и объясняли. Это самцу, может, выгодно спариваться с большим количеством самок эволюционно, а будут ли самки такого выбирать? Кого же выберет самка и соответствует ли это вашему описанию? Итак, что нужно самке? Ей нужны ресурсы, чтобы растить ребёнка, причём стабильные, на долгий срок — человеческие дети очень долго требуют воспитания и ресурсов. В идеале так, чтобы эти ресурсы ей не надо было добывать и, конечно же, чтобы их не надо было делить с другими самками. Соответственно, надо найти богатого самца и, внезапно, верного самца. Потому что если он гуляет налево, он транжирит ресурсы на кого-то другого, и совершенно любой самке это невыгодно. Теперь про генетику. Выгодно ли самке самой гулять налево? Да. Удивительно? Генетически самке выгодно, во-первых, иметь как можно больше детей — так больше шанс на удачные комбинации генов и что кто-то выживет и размножится, во-вторых, с умными самцами — это биологическое преимущество, причём не только среди людей, в-третьих, от разных самцов — так тоже больше шанс на удачные генетические комбинации. Насчёт третьего пункта есть нюанс: гарантировать получение ресурсов на ребёнка можно только в том случае, если самец с ресурсами — биологический отец ребёнка. Дело не только в алиментах, дело в том, что самец защищает только собственные гены, это тоже стандарт в царстве животных. Однако в то же время наиболее умные самцы это обычно не наиболее сильные — это те, у кого хватает ума трахать чужих самок максимально незаметно для наиболее сильных. Это довольно сложно. Соответственно, эволюционно выгодно иметь одного ребёнка от самца с возможностями, а потом как можно больше — от других каких-нибудь, но умных. Но с другой стороны, если гулять налево, нужно ни в коем случае не попадаться, потому что можно лишиться всех ресурсов, надо соблюдать умеренный баланс. С учётом того, что в современном мире многие рожают не больше одного-двух детей, получается, что гулять налево на самом деле невыгодно: высокий риск потерять все ресурсы, если же дети генетически от богатого самца, то намного больше шанс, что он продолжит их кормить и так далее, даже в случае развода. Раз так, то необходимо найти не просто богатого, а одновременно ещё и умного, потому что найти своим детям «умных» генов на стороне возможности нет. Ну и красивого, чтобы у детей было больше шансов привлечь внимание самок в будущем. В итоге идеальный муж это богатый верный умный красавец. Причём критически важны первые два пункта, особенно верность — богатых мало, ресурсы нужны 18−20 лет, а гены умного и красивого — минут на пятнадцать в самом начале, для сохранения собственных генов самке важно именно вырастить ребёнка, гораздо важнее, чем успешно зачать — это как раз дело нехитрое. Не думаю, что кого-то удивляет этот вывод. Разве что вас, автор, который почему-то решил, что правила человеческого социума как-то отличаются от тех, к которым предрасположена человеческая биология.;прекрасный пол, живность, сильный пол, быт;2021-09-22
Страшно, аж жуть! ;Читаю задолбашку женщины, которая принимает душ один раз в пять дней, и мне становится страшно. Не хотите часто мыть голову — ваше дело. Выглядят волосы грязными или нет — на это окружающим в принципе наплевать. Но учтите, волосы очень хорошо впитывают запахи. Не только парфюм, но и запахи с улицы: выхлопные газы, сигаретный дым, запахи еды… мне продолжать? И вы живёте с этим букетом несколько дней. Насчет дезодорантов. У вас, видимо, много единомышленниц. Часто на работе и в спортзале это чувствуется — запах пота. Того самого, который вам не пахнет. Особенный шик — небритые подмышки. Волосы впитывают запахи, помним? Добавьте пот, добавьте мытьё раз в пять дней. Добавьте это к букету аромата от волос. Вы в окружении этого живёте постоянно и уже принюхались, а у меня, например, слезятся глаза от таких ароматных барышень. Интересно, а когда у вас, пардон, месячные, вы тоже моетесь раз в пять дней? Это вам тоже не пахнет? Если да, то это тоже кошмарная добавка к букету вони. Женщина, вы живёте в обществе, где приходится взаимодействовать с другими людьми. Чистота и опрятность — это база взаимодействия. Можно было поискать средства, подходящие для чувствительной кожи. Пойти к дерматологу. Нормальному дерматологу, а не к тому, у которого, похоже, нос заложен намертво. Но вы выбрали ничем не пользоваться, не мыться и вонять. Дело ваше, но не надо нести эту дурь в массы. Задолбали неряхи и лентяйки!;;2021-09-22
Пир на празднике чужом;Господа, которые не наобщались с женой в своё свободное время! И такие же дамы! Вы никогда не задумывались, почему ваших благоверных не хотят видеть? Вот девичья студенческая компания встречается у одной из подруг. Ухажёр хозяйки остается у себя дома, чтобы не мешать. У этих девчонок не заведено дружить парами, даже не у всех эта самая пара есть. Да и ему не особо интересно бабский щебет слушать. Но вот одна юная леди просится приехать со своим новым парнем, которого никто не знает. К человеку в гости, не куда-нибудь в кафе. Ей отвечают, что это нежелательно, она обижается. Потом проходит встреча у неё дома. Парень присутствует и постоянно её мацает, иногда случайно цепляя подружек. Общаться с ними желания проявляет ровным счетом ноль. Ну и зачем ты в этом малиннике нужен? Мужская компания. Приходит девушка одного из друзей, пытается общаться, пьёт пиво, но откровенно не вписывается. Как ни соберутся, он с ней. Мужики от греха подальше перестают звать героя-любовника на встречи. День рождения. Под вечер за одной гостьей заезжает кавалер и по какой-то причине решает остаться. Они начинают гнать какой-то лютый внутряк и смачно целуются и хихикают каждый раз, когда «понимают друг друга». Разговор в компании сходит на нет. Именинник только чай наливает и молчит. Довольно большая смешанная компания. Годами отдыхали вместе, снимали домик на выходные. Девушки понаходили ухажёров, спросили, можно ли привести с собой. Не вопрос. Но оказалось, что ночевать они хотят в двухместных номерах с любимыми, а на большой дом, в котором все вместе будут тусить днем, пусть скидывается кто-нибудь другой. Камон, вы туда трахаться едете или общаться? Ну поспите вы, блин, одну ночь на разных кроватях, вы же поездами как-то ездите! Не можете потерпеть, мало выходных, редко видитесь — скажите, что не можете, и оставайтесь дома, никто вас не осудит. Если не наберётся кворум, выберем другую дату. Но вы не соскучились, вам надо предъявить половую мощь хахалей окружающим статуса ради. Никуда в итоге не поехали, дорого вышло. Другая смешанная компания, многие парами, всех рады видеть. Но в одной из пар девушка обычно хочет пойти на встречу, а парень нет. Поэтому они каждый раз обещают, но не приходят. Их ждут, на них закупают шашлык, их вызванивают, но они просто пропадают с радаров в день встречи. Поездка в один холодный город зимой. Все взяли теплые вещи, кроме чьей-то девушки, которой надо быть неотразимой перед кавалером, оттого она щеголяет по морозу в сапожках на каблуках и с непокрытой головой. Ноет, что ей холодно и скользко гулять, срывает всем планы. Три человека, двое из которых пара, выясняют, что интересуются одной довольно редкой игрой. За третьей, своей девушкой, увязывается четвёртый: он не в теме, но ведь двое надвое же получается! Супер, всему научим, нашли место, поехали. Только вот игра оказывается сложной, ему не интересно, и он начинает непристойно пристраиваться к своей даме, мешает другим игрокам и в итоге устраивает китайскую ничью, хотя остальные хотели доиграть и могли это сделать без него. Ему, наконец, весело. Компания, объединённая травмоопасным увлечением. Один товарищ тащит с собой девушку, обучает её, но не очень хорошо, ведь ему кажется, что она такая распрекрасная умница и всё на лету схватывает. Девушка на совместных мероприятиях виснет на нём, не говоря ни слова, свои знания не углубляет. Однажды сильно калечится. Всё просто. Если вашу вторую половинку не зовут, значит, или она не умеет себя вести, или её присутствие кардинально меняет ваше поведение, или ваше общение слишком специфично и случайные люди будут неуместны. Если половинка заинтересована быть полноценным членом компании и нравится вашим друзьям, смело её берите. Если нет — делайте выбор. Либо вы оставляете своей даме или кавалеру немного времени на себя, либо вы оставляете компанию. Если вы идёте на встречу, чтобы весь вечер ворковать с ненаглядным, то нафига вы вообще припёрлись? Проведите время вдвоем. У всех бывает период, когда больше никто на свете не нужен, со временем успокаиваешься. А если вы пасёте своего человечка и не отпускаете от себя ни на шаг, то ваши отношения нездоровые, и, может, однажды вы своим «бесчувственным» корешам скажете спасибо за то, что пытались вытащить. Совпадать не во всём и симпатизировать разным людям — это нормально, не нужно натягивать каждого партнёра на свои интересы и перенимать его увлечения. Будьте собой, вы разве не такими друг друга полюбили? А ещё есть вещи, которые хочется обсудить вживую с близким другом, но не с его партнером, поэтому среди одних и тех же людей возможен как формат «все вместе», так и «без баб или мужиков». Ничего оскорбительного в этом нет. Задолбали сиамские близнецы. И что самое характерное, сначала они ставят ультиматумы, а как расстанутся со своими зайками, приползают обратно и жалобно просятся снова в друзья. Спасибо, вы уже показали, насколько цените дружбу. Дружите организмами дальше.;прекрасный пол, развлечения, друзья, сильный пол;2021-09-22
В семейной жизни самый важный винт — это любовь;Задолбали мужчины, вопрошающие: «А зачем принцу вы, если вы ни убирать, ни готовить не собираетесь?» Вы женитесь на первой встречной уборщице или поварихе? Вам в браке не нужно ни общение, ни секс, ни взаимная любовь и поддержка, только чистая квартира и пожрать? Вот мой совет — вам нужна не женщина, а домработница. Значительно дешевле, чем содержать жену, и появление детей не грозит — в теории! С другой стороны, задолбали женщины, считающие, что если они готовы мужчину обслуживать, то они автоматически достойны принца — и на меньшее не согласны! Чтобы был богатый, добрый, красивый, возил отдыхать, носил на ручках и покупал всё, на что покажешь пальчиком — за то, что ты стираешь его носки, готовишь покушать и спишь с ним иногда. Нормальной женщине и нормальному мужчине нужен не только комфорт в быту, но и самая обыкновенная человеческая компания. Общие интересы, взаимопомощь и поддержка, забота, общение, просто обычная доброта, в конце концов. Если вам это так сложно понять — купите робот-пылесос и мультиварку, у вас с ними один эмоциональный интеллект на троих.;прекрасный пол, родственники, сильный пол, быт;2021-09-22
Детей приносят, всё таки, не аисты. А жаль;Следите, так сказать, за руками. Если ты вырос в плохих условиях и спокойно об этом говоришь, то ты глупый и неразумный переросток. А если ты плодишься аки кролик, живя в дерьме, бухаешь до свинского состояния и поколачиваешь домашних, то ты несчастная жертвочка обстоятельств, которой Государство должно помочь. И, конечно же, помогать в первую очередь нужно не детям, которые оказались собственно в паршивых условиях, нет! Главные жертвы ситуации — это алкаши и кухонные боксёры, ведь бедняжки не могут снимать стресс другим способом. А детей им, видимо, америкосы в трусы подкинули, и они в их появлении никак не участвовали — и эти дети у них ещё и кормленья-одеванья затребовали! Аж жалость пробрала, плак-плак! Мне очень интересно — каким человеком надо быть, чтобы из рассказа про трешовое детство с родителями-алкоголиками, которые истязают ребёнка, сделать вывод о «взрослых людях с мозгами трёхлетки», которые опять всё кругом не ценят. Но, видимо, и такие нынче бывает. Вы так гладко стелете про то, что кормление и одевание — это огромнейший труд, а тупые двадцатилетки этого не осознают, но упускаете важнецкую такую деталь. Мы-то это понимаем, и поэтому все исследователи говорят о том, что молодое поколение предпочитает откладывать деторождение, и для начала встать на ноги, построить карьеру и вступить в надёжные отношения. Мы понимаем, что растить ребёнка тяжело и дорого, поэтому… не заводим детей, если не имеем денег! Мы осознаём, что это огромная ответственность, поэтому не рожаем, если не чувствуем себя полностью готовыми. Но, видимо, это «трёхлетство», а настоящие взрослые плодятся, где сидят, а потом ещё и тюкают выросшего ребёнка за отсутствие несоразмерной благодарности за детство в плохом моральном климате и посредственных условиях. Вопрос у меня к автору только один. А почему в этой ситуации крайние опять дети? Почему контролировать свои эмоции, половые органы и мозги не умеют взрослые люди, а пинают за это детей, которым такое положение дел не нравится? Я понимаю, что у нас в стране тяжёлая ситуация с абортами и контрацепцией, и нежеланные дети существуют. Но! Чем виноваты дети? Почему они должны воспитывать в себе сочувствие к откровенным садистам, пьяницам и просто придуркам? Они, вашу мать, просто родились, где рождаться, кстати, не выбирая — и уже стали крайними! Так ещё и общество поддакивает — они же родили, они же кормят, хватит винить всех вокруг себя, тебе никто ничего не должен, сопля безмозглая. Пока у нас в стране не будет нормального отношения к выросшим детям из нездоровых семей, во мне не будет ни капли сочувствия к взрослым размножающимся мразям. Потому что финансовые и кукушечные проблемы — не карт-бланш на издевательство над невинным и беспомощным существом, которое вы сами же принесли в этот мир. И меня не волнует, насколько добровольным и осознанным было это принесение. Вы не просто задолбали. Вы отвратительны в полном смысле этого слова.;дети, сильный пол;2021-09-22
Там, где побывала вонючка, остаётся вонь;Курильщики, уж извините, что без обращения «уважаемые», ибо уважаемые курильщики курят, не мешая никому и к ним незачем обращаться! Те, которые курят на узкой тропинке, на платформах электричек, хоть там и нельзя курить, на остановках. О да, вы хотите покурить! А я, представьте, страдаю повышенным газообразованием, очень пахучим. И не просто хочу испустить газы вам под нос, а не могу терпеть. Когда вы идёте уже без вонючей сигаретки, вам очень приятно будет нюхнуть облачко испражнений? Думаю, личико ваше омрачит гримаска. Но я так не делаю, стою и терплю, избавляя вас от своей вони. Но почему я должна нюхать вашу вонь, идя сзади вас по тропинке? Задолбало!;быт;2021-09-22
